MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of initial pre-financing,Cumulative annual pre-financing,Pre-financing covered by expenditure,Recovery of annual pre-financing,Net pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
IT,Italy,2014IT16RFOP017,Toscana - ERDF,ERDF,More developed,2023,389513945.00,11173608.57,0.00,0.00,72720941.21,26381261.74,34963288.36,22549999.68,340582683.58,0.00,366963945.32,389513945.00,100.00,100.00
EE,Estonia,2014EE06RDNP001,Estonia - National Rural Development,EAFRD,,2023,1081864629.00,24700246.74,0.00,0.00,0.00,0.00,0.00,24700246.74,903528358.06,0.00,903528358.06,928228604.80,85.80,85.80
TC,Interreg,2014TC16I5CB010,IPA CBC Greece - Albania,IPAE-contribution from ERDF,,2023,22982611.00,3716776.50,0.00,0.00,0.00,0.00,0.00,3716776.50,18046057.46,0.00,18046057.46,21762833.96,94.69,94.69
FR,France,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ERDF,Less developed,2023,351959114.00,9925247.01,0.00,0.00,64954054.47,16898709.82,35527460.04,22453131.62,202046681.16,0.00,218945390.98,241398522.60,68.59,68.59
BE,Belgium,2014BE05FMOP001,FEAD - Belgium,FEAD,REACT-EU,2023,46087224.00,4763076.60,0.00,0.00,0.00,0.00,0.00,4763076.60,31062450.93,0.00,31062450.93,35825527.53,77.73,77.73
TC,Interreg,2014TC16I5CB010,IPA CBC Greece - Albania,IPAE,,2023,22982611.00,3716776.50,0.00,0.00,0.00,0.00,0.00,3716776.50,18046057.26,0.00,18046057.26,21762833.76,94.69,94.69
TC,Interreg,2014TC16RFCB009,Interreg V-A - Germany/Bayern-Czech Republic,ERDF,,2023,103375149.00,3101254.47,0.00,0.00,19899716.18,7201034.06,9056232.30,6743704.29,79980641.14,0.00,87181675.20,93925379.49,90.86,90.86
CY,Cyprus,2014CY16M1OP001,Competitiveness and sustainable development - CY - ERDF/CF,CF,,2023,258856192.00,10134768.00,0.00,0.00,51156203.27,19972936.28,21746800.61,19571234.38,219312021.34,0.00,239284957.62,258856192.00,100.00,100.00
ES,Spain,2014ES16RFOP005,Asturias  - ERDF,ERDF,More developed,2023,256779031.00,8341606.04,0.00,0.00,47815463.33,11534327.06,26301724.45,18321017.86,227111465.82,187779.74,238458013.14,256779031.00,100.00,100.00
FR,France,2014FR16M2OP005,Franche-Comté et Jura - ERDF/ESF,ERDF,Transition,2023,145993387.00,4117013.49,0.00,0.00,26943079.46,8361907.59,13036593.92,9661591.44,128434297.77,464409.80,136331795.56,145993387.00,100.00,100.00
FR,France,2014FR05SFOP003,Guyane - ESF,ESF,REACT-EU,2023,31526760.00,3646134.75,0.00,0.00,1116686.50,0.00,486151.30,4276669.95,12552941.82,0.00,12552941.82,16829611.77,53.38,53.38
FR,France,2014FR05SFOP003,Guyane - ESF,ESF,Less developed,2023,78956069.00,2365980.00,0.00,0.00,14786279.95,4124683.94,7875866.13,5151709.88,46324681.22,0.00,50449365.16,55601075.04,70.42,70.42
FR,France,2014FR16M0OP006,Languedoc-Roussillon - ERDF/ESF/YEI,ESF,Transition,2023,79443748.00,2577096.66,0.00,0.00,15585925.76,5104637.27,7558984.63,5499400.52,69845055.79,0.00,74949693.06,80449093.58,101.27,101.27
LT,Lithuania,2014LT16MAOP001,EU Structural Funds Investments - LT - ERDF/ESF/CF/YEI,ERDF,Less developed,2023,3405652484.00,98739811.83,0.00,0.00,640439984.63,150454010.36,327247271.59,261478514.51,2994558804.19,838845.06,3144173969.49,3405652484.00,100.00,100.00
TC,Interreg,2014TC16RFTN001,Interreg V-B - Alpine Space,ERDF,,2023,116635466.00,3499063.98,0.00,0.00,21065440.79,9472416.67,9222399.33,5869688.77,101293360.56,0.00,110765777.23,116635466.00,100.00,100.00
PL,Poland,2014PL16M2OP003,Lubelskie Voivodeship - ERDF/ESF,ERDF,REACT-EU,2023,30983205.00,11699831.25,0.00,0.00,1139656.60,0.00,519992.50,12319495.35,18663709.65,0.00,18663709.65,30983205.00,100.00,100.00
SK,Slovakia,2014SK05M0OP001,Human Resources - SK - ESF/ERDF/YEI,YEI,,2023,172270942.00,4330515.54,20930825.11,20930825.11,28589224.08,12493590.61,15682940.02,4743208.99,163130747.54,9164767.06,166459571.09,171202780.08,99.38,99.38
CZ,Czechia,2014CZ05M2OP001,Research Development and Education - CZ - ESF/ERDF,ESF,Less developed,2023,1168125739.00,32941145.82,0.00,0.00,215577605.05,67184530.44,103616854.81,77717365.62,1024016286.65,0.00,1091200817.09,1168918182.71,100.07,100.07
PT,Portugal,2014PT16M2OP004,Azores - ERDF/ESF,ESF,Less developed,2023,343756016.00,10354452.85,0.00,0.00,59832136.07,22765761.45,25951963.66,21468863.81,289402344.33,1644419.15,310523686.63,331992550.44,96.58,96.58
MT,Malta,2014MT16M1OP001,Fostering a competitive and sustainable economy - MT - ERDF/CF,ERDF,REACT-EU,2023,11162285.00,0.00,0.00,0.00,446491.40,0.00,223245.70,223245.70,5455250.64,0.00,5455250.64,5678496.34,50.87,50.87
PL,Poland,2014PL05M9OP001,Knowledge Education Growth  - PL - ESF/YEI,ESF,Less developed,2023,3601581202.00,101963728.05,0.00,0.00,700743452.71,253036777.18,309102220.36,240568183.22,3119865557.82,0.00,3372902335.00,3613470518.22,100.33,100.33
FR,France,2014FR16M2OP012,Mayotte - ERDF/ESF,ERDF,Less developed,2023,146032651.00,4118120.76,0.00,0.00,26950325.77,2442194.37,19180026.82,9446225.34,91503289.90,15632450.46,78313033.81,87759259.15,60.10,60.10
CZ,Czechia,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - CZ - ERDF,ERDF,Less developed,2023,3850109773.00,122135965.80,0.00,0.00,757157064.26,190615453.75,413642508.94,275035067.37,3304865709.77,15885080.38,3479596083.14,3754631150.51,97.52,97.52
BE,Belgium,2014BE16RFOP001,Brussels Capital Region - ERDF,ERDF,More developed,2023,95777508.00,2669747.76,0.00,0.00,17627668.21,2339228.02,11369224.58,6588963.37,67319089.64,479461.10,69178856.56,75767819.93,79.11,79.11
TC,Interreg,2014TC16RFCB047,Interreg V-A - United Kingdom-Ireland (Ireland-Northern Ireland-Scotland),ERDF,,2023,240347696.00,7210430.88,0.00,0.00,46266931.48,11542432.08,23495247.86,18439682.42,176491878.82,0.00,188034310.90,206473993.32,85.91,85.91
PL,Poland,2014PL16M2OP010,Podlaskie Voivodeship - ERDF/ESF,ERDF,Less developed,2023,877582526.00,24596525.46,0.00,0.00,161289605.68,64979163.37,69432603.99,51474363.78,761128998.85,0.00,826108162.22,877582526.00,100.00,100.00
GR,Greece,2014GR16M1OP001,Transport Infrastructure Environment and Sustainable Development - GR - ERDF/CF,ERDF,More developed,2023,171117704.00,9173865.41,16054264.46,0.00,37778995.83,1525413.42,27334833.59,34146878.69,134966636.18,2011742.67,134480306.93,168627185.62,98.54,98.54
FR,France,2014FR16M2OP003,Bretagne - ERDF/ESF,ESF,More developed,2023,62192699.00,1753834.11,0.00,0.00,11477662.60,3371630.56,6150461.14,3709405.01,42394024.84,0.00,45765655.40,49475060.41,79.55,79.55
FR,France,2014FR16M2OP012,Mayotte - ERDF/ESF,ERDF,REACT-EU,2023,119115539.00,12808663.05,0.00,0.00,4090132.52,0.00,1707821.74,15190973.83,36687476.25,0.00,36687476.25,51878450.08,43.55,43.55
DE,Germany,2014DE05SFOP009,Mecklenburg-Vorpommern - ESF,ESF,Transition,2023,384589073.00,10845411.87,0.00,0.00,70975913.48,26282950.53,32423626.64,23114748.18,335191374.29,0.00,361474324.82,384589073.00,100.00,100.00
FR,France,2014FR05M0OP001,Île-de-France et Seine - ESF/ERDF/YEI,YEI Specific Allocation,,2023,4058390.00,86464.17,835820.31,0.00,721156.10,53244.09,472969.82,1117226.67,3879403.27,1551785.09,2380862.27,3498088.94,86.19,86.19
FR,France,2014FR16M2OP005,Franche-Comté et Jura - ERDF/ESF,ERDF,More developed,2023,4944000.00,139420.83,0.00,0.00,912415.34,306780.16,391904.20,353151.81,4284068.03,0.00,4590848.19,4944000.00,100.00,100.00
MT,Malta,2014MT05FMOP001,FEAD - Malta,FEAD,,2023,3944660.00,433912.60,0.00,0.00,0.00,0.00,0.00,433912.60,3510747.40,0.00,3510747.40,3944660.00,100.00,100.00
DE,Germany,2014DE05SFOP002,Federal Germany - ESF,ESF,Transition,2023,746745746.00,21058230.09,0.00,0.00,136066013.72,60676543.34,51961412.24,44486288.23,641582914.43,0.00,702259457.77,746745746.00,100.00,100.00
FR,France,2014FR16M0OP006,Languedoc-Roussillon - ERDF/ESF/YEI,YEI ESF Matching Component,,2023,20949463.00,410838.99,0.00,0.00,3679648.06,569462.96,2239462.84,1281561.25,11009832.08,0.00,11579295.04,12860856.29,61.39,61.39
TC,Interreg,2014TC16RFCB020,Interreg V-A - Greece-Italy,ERDF,,2023,104700362.00,3141010.86,0.00,0.00,20154819.69,3068299.57,12297485.09,7930045.89,75133465.84,585512.46,77616252.95,85546298.84,81.71,81.71
IT,Italy,2014IT16RFOP013,Marche - ERDF,ERDF,More developed,2023,292691644.00,4757104.35,0.00,0.00,48625342.87,11600406.34,25837159.20,15944881.68,239962298.56,56329.33,251506375.57,267451257.25,91.38,91.38
ES,Spain,2014ES16RFOP018,Melilla  - ERDF,ERDF,Transition,2023,52664377.00,1609293.14,0.00,0.00,9556192.90,3266584.78,4868819.44,3030081.82,43939323.89,0.00,47205908.67,50235990.49,95.39,95.39
FR,France,2014FR16M0OP006,Languedoc-Roussillon - ERDF/ESF/YEI,YEI Specific Allocation,,2023,20949463.00,410838.99,3971443.57,0.00,3679648.06,611810.51,2239462.84,5210657.27,11009832.12,0.00,11621642.63,16832299.90,80.35,80.35
FR,France,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ERDF,Outermost or Northern Sparsely Populated,2023,93142408.00,2626615.92,0.00,0.00,15326583.30,6932001.28,7762757.18,3258440.76,82951965.96,0.00,89883967.24,93142408.00,100.00,100.00
FR,France,2014FR05M0OP001,Île-de-France et Seine - ESF/ERDF/YEI,YEI ESF Matching Component,,2023,4058390.00,86464.17,0.00,0.00,721156.10,23781.47,472969.82,310868.98,3879403.27,1551785.09,2351399.65,2662268.63,65.60,65.60
SI,Slovenia,2014SI05FMOP001,FEAD - Slovenia,FEAD,REACT-EU,2023,8900000.00,1335000.00,0.00,0.00,0.00,0.00,0.00,1335000.00,1284388.36,0.00,1284388.36,2619388.36,29.43,29.43
PL,Poland,2014PL16M2OP005,Łódzkie Voivodeship - ERDF/ESF,ERDF,REACT-EU,2023,31331664.00,11831415.75,0.00,0.00,1152473.98,0.00,525840.70,12458049.03,11118134.91,0.00,11118134.91,23576183.94,75.25,75.25
CY,Cyprus,2014CY16M1OP001,Competitiveness and sustainable development - CY - ERDF/CF,ERDF,REACT-EU,2023,67316004.00,6964033.50,0.00,0.00,2274857.88,0.00,928537.80,8310353.58,59005650.42,0.00,59005650.42,67316004.00,100.00,100.00
FR,France,2014FR16M0OP006,Languedoc-Roussillon - ERDF/ESF/YEI,YEI,,2023,41898926.00,821677.98,3971443.57,0.00,7359296.12,1181273.47,4478925.68,6492218.52,22019664.20,0.00,23200937.67,29693156.19,70.87,70.87
DK,Denmark,2014DK05FSOP001,FEAD - Denmark,FEAD,,2017,3944660.00,433912.60,0.00,0.00,0.00,0.00,0.00,433912.60,446767.37,0.00,446767.37,880679.97,22.33,22.33
GR,Greece,2014GR16M2OP009,Ionian Islands - ERDF/ESF,ERDF,Transition,2017,156105100.00,5839690.45,10219458.28,0.00,6752142.08,142392.59,2777452.63,19891445.59,20539587.64,0.00,20681980.23,40573425.82,25.99,25.99
UK,United Kingdom,2014UK05M9OP001,England  - ESF/YEI,YEI,,2019,319576848.00,9587305.44,46338642.96,46338642.96,32756626.92,1590280.42,21975095.66,18778556.28,112664920.71,0.00,114255201.13,133033757.41,41.63,41.63
ES,Spain,2014ES06RDRP007,Castilla-La Mancha  - Rural Development,EAFRD,,2016,1147779504.00,40172282.64,0.00,0.00,0.00,0.00,0.00,40172282.64,63042487.49,0.00,63042487.49,103214770.13,8.99,8.99
DE,Germany,2014DE05SFOP007,Hamburg - ESF,ESF,More developed,2016,78176271.00,2204570.88,0.00,0.00,1469713.92,0.00,0.00,3674284.80,0.00,0.00,0.00,3674284.80,4.70,4.70
GR,Greece,2014GR16M3TA001,Technical assistance - GR - ERDF/ESF/CF,ERDF,Less developed,2017,108935710.00,4426668.16,7746669.28,0.00,4843943.65,1577416.68,635917.40,14803947.01,30489459.43,0.00,32066876.11,46870823.12,43.03,43.03
DE,Germany,2014DE05SFOP010,Nordrhein-Westfalen - ESF,ESF,REACT-EU,2021,110053730.00,12105910.30,0.00,0.00,0.00,0.00,0.00,12105910.30,783450.00,0.00,783450.00,12889360.30,11.71,11.71
DE,Germany,2014DE05SFOP008,Hessen - ESF,ESF,More developed,2015,172204566.00,3237445.84,0.00,0.00,0.00,0.00,0.00,3237445.84,0.00,0.00,0.00,3237445.84,1.88,1.88
BE,Belgium,2014BE16RFOP002,Flanders - ERDF,ERDF,More developed,2023,175592099.00,4894540.29,0.00,0.00,32317404.89,10160122.90,16543442.65,10508379.63,139320957.44,0.00,149481080.34,159989459.97,91.11,91.11
UK,United Kingdom,2014UK05SFOP005,Gibraltar - ESF,ESF,More developed,2023,4174426.00,136525.83,0.00,0.00,596794.59,304325.22,348545.57,80449.63,3789651.15,0.00,4093976.37,4174426.00,100.00,91.73
GR,Greece,2014GR16M3TA001,Technical assistance - GR - ERDF/ESF/CF,ESF,Less developed,2019,43254680.00,1913674.29,3348930.00,0.00,4527140.64,1748214.65,1535353.94,6506176.34,21451759.66,0.00,23199974.31,29706150.65,68.68,68.68
FR,France,2014FR16M0OP006,Languedoc-Roussillon - ERDF/ESF/YEI,YEI,,2017,41273586.00,821677.98,3971443.57,0.00,1266753.56,323882.20,223903.12,5512089.79,6692644.16,0.00,7016526.36,12528616.15,30.36,30.36
CZ,Czechia,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - CZ - ESF/YEI",ESF,More developed,2019,100000000.00,2820000.00,0.00,0.00,9635000.01,773878.46,6158621.55,5522500.00,34607696.26,1807877.47,33573697.25,39096197.25,39.10,39.10
ES,Spain,2014ES14MFOP001,Maritime and Fisheries - Spain,EMFF,,2021,1087197165.00,38217327.26,0.00,0.00,164966133.85,21113095.68,101713441.32,80356924.11,367138636.12,0.00,388251731.80,468608655.91,43.10,40.34
ES,Spain,2014ES16RFOP002,Multi-regional Spain - ERDF,ERDF,Transition,2022,5381781261.00,171760576.72,0.00,0.00,901379947.48,114464443.67,525813856.71,432862223.82,2217518506.52,0.00,2331982950.19,2764845174.01,51.37,51.37
IT,Italy,2014IT16RFOP010,Lazio - ERDF,ERDF,More developed,2020,484532597.00,12874219.23,0.00,0.00,59131234.93,2619512.65,30587059.71,38798881.80,120887709.48,0.00,123507222.13,162306103.93,33.50,33.50
FR,France,2014FR06RDRP072,Aquitaine - Rural Development,EAFRD,,2015,595324615.00,11906492.30,0.00,0.00,0.00,0.00,0.00,11906492.30,19647576.90,0.00,19647576.90,31554069.20,5.30,5.30
HU,Hungary,2014HU05M2OP001,Human Resources Development - HU - ESF/ERDF,ESF,Less developed,2015,1707972503.00,32109883.06,0.00,0.00,0.00,0.00,0.00,32109883.06,0.00,0.00,0.00,32109883.06,1.88,1.88
SE,Sweden,2014SE16M2OP001,Community-led local Development - SE - ERDF/ESF,ERDF,More developed,2020,8485112.00,239840.52,0.00,0.00,1058699.47,54447.82,535160.12,708932.05,2626654.36,0.00,2681102.18,3390034.23,39.95,39.86
GR,Greece,2014GR16M3TA001,Technical assistance - GR - ERDF/ESF/CF,ESF,Less developed,2014,47841857.00,717627.86,0.00,0.00,0.00,0.00,0.00,717627.86,0.00,0.00,0.00,717627.86,1.50,1.50
ES,Spain,2014ES05FMOP001,FEAD - Spain,FEAD,REACT-EU,2022,177000000.00,6000000.00,0.00,0.00,0.00,0.00,0.00,6000000.00,58615349.81,0.00,58615349.81,64615349.81,36.51,36.51
GR,Greece,2014GR05M9OP001,Human Resources Development Education and Lifelong Learning - GR - ESF/YEI,YEI Specific Allocation,,2021,256178865.00,6860681.17,48882353.27,0.00,34795765.04,3952697.18,18808679.97,67777422.33,107293219.15,4148291.41,107097624.92,174875047.25,68.26,68.26
FR,France,2014FR16M0OP005,Haute-Normandie - ERDF/ESF/YEI,ERDF,More developed,2017,226243976.00,6380080.14,0.00,0.00,9835956.88,0.00,4253386.76,11962650.26,11877447.96,0.00,11877447.96,23840098.22,10.54,10.54
CY,Cyprus,2014CY05M9OP001,"Employment, Human Capital and Social Cohesion - CY - ESF/YEI",YEI Specific Allocation,,2016,11572101.00,462884.04,3298048.79,0.00,231442.02,0.00,0.00,3992374.85,2085408.69,0.00,2085408.69,6077783.54,52.52,52.52
TC,Interreg,2014TC16RFCB041,Interreg V-A - France-Switzerland,ERDF,,2019,65890505.00,1976715.15,0.00,0.00,6753776.77,96662.95,4762761.80,3871067.17,10939522.14,0.00,11036185.09,14907252.26,22.62,22.62
HR,Croatia,2014HR05M9OP001,Efficient Human Resources - HR - ESF/YEI,YEI Specific Allocation,,2021,103155052.00,1985314.32,19191371.76,0.00,11853191.15,5941030.12,5912161.03,21176686.08,74478705.67,0.00,80419735.79,101596421.87,98.49,98.49
FR,France,2014FR16M0OP014,Bourgogne - ERDF/ESF/YEI,ERDF,More developed,2022,183532126.00,5175605.94,0.00,0.00,30200211.29,6774234.69,15067364.64,13534217.90,146267795.18,0.00,153042029.87,166576247.77,90.76,90.76
TC,Interreg,2014TC16M5CB011,,ENI,,2019,81000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BE,Belgium,2014BE05M9OP002,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,More developed,2020,37932758.00,1134348.33,0.00,0.00,4824241.56,440353.41,2289013.31,3229223.17,22829254.14,0.03,23269607.52,26498830.69,69.86,69.86
ES,Spain,2014ES05SFOP003,Murcia - ESF,ESF,REACT-EU,2022,40128043.00,1092000.00,0.00,0.00,145600.00,0.00,0.00,1237600.00,0.00,0.00,0.00,1237600.00,3.08,3.08
ES,Spain,2014ES16RFOP002,Multi-regional Spain - ERDF,ERDF,Transition,2017,5636880958.00,171760576.72,0.00,0.00,226969333.52,0.00,98148900.98,300581009.26,99252080.76,0.00,99252080.76,399833090.02,7.09,7.09
GR,Greece,2014GR16M2OP004,Epirus - ERDF/ESF,ERDF,Less developed,2022,194341092.00,8504201.44,14882352.52,0.00,36032664.58,4987438.93,21860412.02,32571367.59,148203396.25,0.00,153190835.18,185762202.77,95.59,95.59
PT,Portugal,2014PT05M9OP001,Social Inclusion and Employment - PT - ESF/YEI,ESF,Less developed,2020,1766695312.00,59504137.42,0.00,0.00,221852708.52,35144350.26,102289299.21,143923196.47,873901383.52,0.00,909045733.78,1052968930.25,59.60,59.60
LT,Lithuania,2014LT16MAOP001,EU Structural Funds Investments - LT - ERDF/ESF/CF/YEI,YEI ESF Matching Component,,2018,31782633.00,953478.99,0.00,0.00,2343969.19,33304.03,1424388.82,1839755.33,23650945.49,0.00,23684249.52,25524004.85,80.31,80.31
TC,Interreg,2014TC16RFCB053,Interreg V-A - Slovenia-Hungary,ERDF,,2021,14795015.00,443850.45,0.00,0.00,2256239.78,723414.18,1081427.94,895248.11,10250278.59,0.00,10973692.77,11868940.88,80.22,80.22
TC,Interreg,2014TC16RFCB042,Interreg V-A - Italy-Croatia,ERDF,,2017,201357220.00,6040716.60,0.00,0.00,9312771.43,0.00,4027144.40,11326343.63,0.00,0.00,0.00,11326343.63,5.63,5.63
TC,Interreg,2014TC16M4TN003,Interreg V-B - Balkan-Mediterranean,IPAE,,2020,5126138.00,153784.14,0.00,0.00,679213.27,43237.63,378052.66,411707.12,2447708.00,0.00,2490945.63,2902652.75,56.62,56.62
GR,Greece,2014GR16M2OP005,Western Greece - ERDF/ESF,ESF,Less developed,2019,77792782.00,2497351.09,4370364.40,0.00,6994655.20,1492946.85,3402527.47,8966896.37,24877660.53,0.00,26370607.38,35337503.75,45.43,45.43
BE,Belgium,2014BE16RFOP001,Brussels Capital Region - ERDF,ERDF,More developed,2021,95777508.00,2669747.76,0.00,0.00,13796567.89,1942288.13,7935064.15,6588963.37,44543810.06,0.00,46486098.19,53075061.56,55.41,55.41
PL,Poland,2014PL16M2OP016,Zachodniomorskie Voivodeship - ERDF/ESF,ESF,Less developed,2021,422420863.00,12701868.33,0.00,0.00,64548335.72,17704261.96,32454683.28,27091258.81,257330661.09,0.00,275034923.05,302126181.86,71.52,71.52
FI,Finland,2014FI16M2OP001,Sustainable growth and jobs - FI - ERDF/ESF,ERDF,Outermost or Northern Sparsely Populated,2018,305331807.00,8610356.97,0.00,0.00,21167127.55,1174189.83,12100110.50,16503184.19,81654249.93,0.00,82828439.76,99331623.95,32.53,32.53
SE,Sweden,2014SE16RFOP002,Småland and islands - ERDF,ERDF,More developed,2018,65081953.00,1861775.85,0.00,0.00,4552606.22,487428.29,2382809.49,3544144.29,13177481.78,0.00,13664910.07,17209054.36,26.44,26.44
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,YEI Specific Allocation,,2019,334883138.00,6479079.60,62631102.80,0.00,28518390.29,7263707.11,11783891.79,78580973.79,178211442.06,7219112.08,178256037.09,256837010.88,76.69,76.69
FR,France,2014FR05M2OP001,Guadeloupe et St Martin - ESF/ERDF,ESF,Less developed,2022,156485104.00,4658219.94,0.00,0.00,26184608.91,5176776.83,15768620.22,9897431.80,87115939.69,0.00,92292716.52,102190148.32,65.30,65.30
CY,Cyprus,2014CY14MFOP001,Maritime and Fisheries - Cyprus,EMFF,,2017,39715209.00,1493291.88,0.00,0.00,1726618.75,158000.00,588645.94,2473264.69,1422000.00,0.00,1580000.00,4053264.69,10.21,10.21
TC,Interreg,2014TC16M5TN001,Interreg V-B - Baltic Sea,ENI,,2017,8800000.00,176000.00,0.00,0.00,407000.00,0.00,176000.00,407000.00,0.00,0.00,0.00,407000.00,4.62,4.62
FR,France,2014FR05M0OP001,Île-de-France et Seine - ESF/ERDF/YEI,YEI,,2023,8116780.00,172928.34,835820.31,0.00,1442312.20,77025.56,945939.64,1428095.65,7758806.54,3103570.18,4732261.92,6160357.57,75.90,75.90
HR,Croatia,2014HR14MFOP001,Maritime and Fisheries - Croatia,EMFF,,2022,252643138.00,7124536.50,0.00,0.00,41572428.41,1079169.05,28612715.79,19005080.07,112948636.35,397804.37,113630001.03,132635081.10,52.50,52.50
LU,Luxembourg,2014LU05FMOP001,FEAD - Luxembourg,FEAD,,2021,3944660.00,433912.60,0.00,0.00,0.00,0.00,0.00,433912.60,3083669.41,0.00,3083669.41,3517582.01,89.17,89.17
GR,Greece,2014GR16M2OP003,Thessaly - ERDF/ESF,ERDF,Less developed,2015,263809880.00,7428756.76,8666882.88,0.00,0.00,0.00,0.00,16095639.64,0.00,0.00,0.00,16095639.64,6.10,6.10
FR,France,2014FR16M2OP009,Poitou-Charentes - ERDF/ESF,ERDF,Transition,2015,222973695.00,4191905.46,0.00,0.00,0.00,0.00,0.00,4191905.46,0.00,0.00,0.00,4191905.46,1.88,1.88
TC,Interreg,2014TC16I5CB005,IPA CBC Bulgaria - Turkey,IPAE,,2018,12598230.00,2603893.50,0.00,0.00,0.00,0.00,0.00,2603893.50,1205584.11,0.00,1205584.11,3809477.61,30.24,30.24
CZ,Czechia,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - CZ - ESF/YEI",ESF,Less developed,2017,2018537524.00,56922758.19,0.00,0.00,87755918.88,2978027.04,34970478.42,106730171.61,300094732.98,0.00,303072760.02,409802931.63,20.30,20.30
ES,Spain,2014ES16RFOP010,Castilla-La Mancha  - ERDF,ERDF,Transition,2020,599482684.00,17570383.46,0.00,0.00,71568090.56,5481569.41,38067093.57,45589811.04,180405458.29,0.00,185887027.70,231476838.74,38.61,38.61
DE,Germany,2014DE16RFOP006,Hamburg  - ERDF,ERDF,More developed,2020,55472740.00,1564331.28,0.00,0.00,6909129.82,1297496.29,3527152.05,3648812.76,22912183.26,0.00,24209679.55,27858492.31,50.22,50.22
LT,Lithuania,2014LT16MAOP001,EU Structural Funds Investments - LT - ERDF/ESF/CF/YEI,ESF,Less developed,2020,1200360754.00,30893141.49,0.00,0.00,136444708.24,11048678.73,72672144.76,83617026.24,563994715.72,2893906.73,572149487.72,655766513.96,54.63,54.63
DE,Germany,2014DE05SFOP002,Federal Germany - ESF,ESF,Transition,2019,746745746.00,21058230.09,0.00,0.00,71948952.81,7434177.49,25030593.90,60542411.51,335930514.98,0.00,343364692.47,403907103.98,54.09,54.09
FR,France,2014FR16M0OP012,Nord-Pas de Calais - ERDF/ESF/YEI,YEI Specific Allocation,,2018,33311957.00,667694.13,6454376.59,0.00,1945440.60,156590.78,872771.00,8038149.54,7546731.25,0.00,7703322.03,15741471.57,47.25,47.25
IT,Italy,2014IT16M2OP001,Molise  - ERDF/ESF,ERDF,Transition,2015,52950497.00,995469.34,0.00,0.00,0.00,0.00,0.00,995469.34,0.00,0.00,0.00,995469.34,1.88,1.88
FR,France,2014FR16M2OP005,Franche-Comté et Jura - ERDF/ESF,ERDF,More developed,2019,4944000.00,139420.83,0.00,0.00,476354.51,82844.34,259575.24,273355.76,1426450.45,0.00,1509294.79,1782650.55,36.06,36.06
FR,France,2014FR16RFOP005,Interregional Rhône Saône - ERDF,ERDF,More developed,2019,13596000.00,383407.20,0.00,0.00,1309974.61,237915.72,704626.99,750839.10,3642657.33,0.00,3880573.05,4631412.15,34.06,34.06
GR,Greece,2014GR16M2OP007,Continental Greece - ERDF/ESF,ESF,Transition,2018,31767244.00,778919.25,1363108.68,0.00,1720570.77,262834.39,637790.99,2961973.32,6216180.89,0.00,6479015.28,9440988.60,29.72,29.72
TC,Interreg,2014TC16RFTN006,Interreg V-B - North West Europe,ERDF,,2022,396134342.00,11884030.26,0.00,0.00,68333174.00,16186916.57,36188169.01,27842118.68,256708034.10,0.00,272894950.67,300737069.35,75.92,75.92
RO,Romania,2014RO05M9OP001,Human Capital - RO - ESF/YEI,YEI,,2015,211988630.00,6359658.90,30208379.78,0.00,0.00,0.00,0.00,36568038.68,0.00,0.00,0.00,36568038.68,17.25,17.25
PT,Portugal,2014PT16M2OP004,Azores - ERDF/ESF,ERDF,Outermost or Northern Sparsely Populated,2019,57500000.00,1891750.00,0.00,0.00,5540125.00,1418812.50,2567375.00,3445687.50,40997584.00,0.00,42416396.50,45862084.00,79.76,79.76
ES,Spain,2014ES16RFOP016,La Rioja  - ERDF,ERDF,More developed,2015,33806515.00,787184.53,0.00,0.00,0.00,0.00,0.00,787184.53,0.00,0.00,0.00,787184.53,2.33,2.33
SI,Slovenia,2014SI16MAOP001,EU Cohesion Policy - SI - ERDF/ESF/CF/YEI,YEI ESF Matching Component,,2023,9211536.00,276346.08,0.00,0.00,1588989.96,453882.86,686044.72,725408.46,7818268.89,0.00,8272151.75,8997560.21,97.68,97.68
FR,France,2014FR16M0OP006,Languedoc-Roussillon - ERDF/ESF/YEI,ESF,Transition,2020,84443748.00,2577096.66,0.00,0.00,10819300.88,1840707.65,5263850.63,6291839.26,29308667.94,0.00,31149375.59,37441214.85,44.34,44.34
GR,Greece,2014GR16M2OP007,Continental Greece - ERDF/ESF,ESF,Transition,2019,31767244.00,778919.25,1363108.68,0.00,2577786.41,436594.20,1283976.57,2999243.57,8835350.38,0.00,9271944.58,12271188.15,38.63,38.63
