MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of initial pre-financing,Cumulative annual pre-financing,Pre-financing covered by expenditure,Recovery of annual pre-financing,Net pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
TC,Interreg,2014TC16I5CB005,IPA CBC Bulgaria - Turkey,IPAE-contribution from ERDF,,2015,12598230.00,912412.00,0.00,0.00,0.00,0.00,0.00,912412.00,0.00,0.00,0.00,912412.00,7.24,7.24
FR,France,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ERDF,Outermost or Northern Sparsely Populated,2018,93142408.00,2626615.92,0.00,0.00,6457097.47,468922.09,3580444.12,5034347.18,9514164.70,0.00,9983086.79,15017433.97,16.12,16.12
CY,Cyprus,2014CY16M1OP001,Competitiveness and sustainable development - CY - ERDF/CF,CF,,2018,294869025.00,10134768.00,0.00,0.00,19340689.81,2216951.76,9501373.74,17757132.31,78139235.68,0.00,80356187.44,98113319.75,33.27,33.27
PT,Portugal,2014PT16M2OP007,Algarve - ERDF/ESF,ERDF,Transition,2017,224321248.00,7376068.46,0.00,0.00,9746947.61,0.00,4214896.26,12908119.81,19318273.14,0.00,19318273.14,32226392.95,14.37,14.37
ES,Spain,2014ES16RFSM001,SME Initiative - ES - ERDF,ERDF,Less developed,2022,42295016.00,2651653.62,0.00,2651606.77,7765557.04,2139277.49,5626326.40,0.00,52656680.41,12500942.14,42295015.76,42295015.76,100.00,100.00
HR,Croatia,2014HR14MFOP001,Maritime and Fisheries - Croatia,EMFF,,2020,252643138.00,7124536.50,0.00,0.00,31466702.89,527609.35,16986876.23,21076753.81,86250233.24,0.00,86777842.59,107854596.40,42.69,42.69
FR,France,2014FR16RFOP003,Interregional Massif Central - ERDF,ERDF,More developed,2018,16480000.00,464736.00,0.00,0.00,1142476.01,31237.53,685230.48,890744.00,1837093.31,0.00,1868330.84,2759074.84,16.74,16.74
IT,Italy,2014IT16RFOP012,Lombardia - ERDF,ERDF,More developed,2017,485237258.00,13683690.69,0.00,0.00,21095689.81,0.00,9122460.46,25656920.04,28047110.46,0.00,28047110.46,53704030.50,11.07,11.07
FR,France,2014FR16M2OP008,Pays de la Loire - ERDF/ESF,ERDF,REACT-EU,2022,67369800.00,7487933.70,0.00,0.00,2345787.16,0.00,998391.16,8835329.70,328675.56,0.00,328675.56,9164005.26,13.60,13.60
DE,Germany,2014DE16RFOP001,Baden-Württemberg - ERDF,ERDF,REACT-EU,2022,113003151.00,12907813.05,0.00,0.00,3981104.76,0.00,1721041.74,15167876.07,10106966.77,0.00,10106966.77,25274842.84,22.37,22.37
HU,Hungary,2014HU05M2OP001,Human Resources Development - HU - ESF/ERDF,ESF,Less developed,2021,1707972503.00,48164824.59,0.00,0.00,246887425.34,604464.42,165965553.96,128482231.55,1018678085.33,49950472.92,969332076.83,1097814308.38,64.28,64.28
IT,Italy,2014IT14MFOP001,Maritime and Fisheries - Italy,EMFF,,2015,537262559.00,10100536.10,0.00,0.00,0.00,0.00,0.00,10100536.10,0.00,0.00,0.00,10100536.10,1.88,1.88
GR,Greece,2014GR05M9OP001,Human Resources Development Education and Lifelong Learning - GR - ESF/YEI,ESF,More developed,2016,332884350.00,12516451.52,22378034.78,0.00,6258225.76,0.00,0.00,41152712.06,84371936.72,0.00,84371936.72,125524648.78,37.71,37.71
TC,Interreg,2014TC16M4TN001,Interreg V-B - Mediterranean,IPAE,,2019,9355783.00,280673.49,0.00,0.00,958967.76,11870.59,678118.41,549652.25,2020191.88,0.00,2032062.47,2581714.72,27.59,27.59
ES,Spain,2014ES16RFOP021,País Vasco  - ERDF,ERDF,More developed,2017,176449979.00,5784204.30,0.00,0.00,7643412.82,0.00,3305259.60,10122357.52,3790206.31,0.00,3790206.31,13912563.83,7.88,7.88
SK,Slovakia,2014SK16M1OP002,Quality of Environment - SK - ERDF/CF,ERDF,More developed,2016,3984712.00,116752.11,0.00,0.00,77834.74,0.00,0.00,194586.85,349297.54,0.00,349297.54,543884.39,13.65,13.65
ES,Spain,2014ES16RFOP002,Multi-regional Spain - ERDF,ERDF,More developed,2019,3677535996.00,114684045.43,0.00,0.00,342996198.64,24692157.21,219467885.17,213520201.69,1111882419.22,0.00,1136574576.43,1350094778.12,36.71,36.71
IT,Italy,2014IT05SFOP001,Social Inclusion - IT - ESF,ESF,More developed,2020,168300000.00,4746060.00,0.00,0.00,20961765.00,3550.41,11663847.09,14040427.50,51261213.54,3691557.62,47573206.33,61613633.83,36.61,36.61
IT,Italy,2014IT05SFOP011,Valle d'Aosta  - ESF,ESF,More developed,2014,27786275.00,261190.98,0.00,0.00,0.00,0.00,0.00,261190.98,0.00,0.00,0.00,261190.98,0.94,0.94
TC,Interreg,2014TC16RFCB049,Interreg V-A - Romania-Hungary,ERDF,,2022,189138672.00,5674160.16,0.00,0.00,32626420.93,5485470.29,18226313.97,14588796.83,103663658.69,0.00,109149128.98,123737925.81,65.42,65.42
GR,Greece,2014GR14MFOP001,Maritime and Fisheries - Greece,EMFF,,2022,379745523.00,14618049.56,25581586.74,25581586.73,63689835.89,5201533.47,42842993.81,30263358.18,195432291.68,9926029.07,190707796.08,220971154.26,58.19,56.84
SI,Slovenia,2014SI16MAOP001,EU Cohesion Policy - SI - ERDF/ESF/CF/YEI,CF,,2019,914046895.00,25249444.26,0.00,0.00,87256456.19,12551076.26,50003262.57,49951561.62,309639765.78,0.00,322190842.04,372142403.66,40.71,40.71
IT,Italy,2014IT05SFOP020,Campania  - ESF,ESF,Less developed,2020,627882260.00,17706279.72,0.00,0.00,78202735.44,12100297.07,39032640.12,44776077.97,230330418.08,0.00,242430715.15,287206793.12,45.74,45.74
TC,Interreg,2014TC16RFCB003,Interreg V-A - Slovakia-Austria,ERDF,,2022,75892681.00,2276780.43,0.00,0.00,13091487.48,1953879.61,7632265.36,5782122.94,40703863.89,0.00,42657743.50,48439866.44,63.83,63.83
AT,Austria,2014AT05FMOP001,FEAD - Austria,FEAD,,2018,18032733.00,1983600.63,0.00,0.00,0.00,0.00,0.00,1983600.63,6621702.60,0.00,6621702.60,8605303.23,47.72,47.72
DE,Germany,2014DE05SFOP009,Mecklenburg-Vorpommern - ESF,ESF,Transition,2021,384589073.00,10845411.87,0.00,0.00,55592350.56,11413475.25,31909539.00,23114748.18,245506661.29,0.00,256920136.54,280034884.72,72.81,72.81
NL,Netherlands,2014NL16RFOP002,West Netherlands - ERDF,ERDF,REACT-EU,2021,82479298.00,9072722.78,0.00,0.00,1649585.96,0.00,0.00,10722308.74,674999.99,0.00,674999.99,11397308.73,13.82,13.82
UK,United Kingdom,2014UK16RFOP001,England - ERDF,ERDF,Transition,2016,1069856731.00,30169959.84,0.00,0.00,20113306.56,0.00,0.00,50283266.40,329674.97,0.00,329674.97,50612941.37,4.73,4.73
PL,Poland,2014PL16M1OP001,Infrastructure and Environment - PL - ERDF/CF,ERDF,Less developed,2016,4695460341.00,132411981.60,0.00,0.00,88274654.40,0.00,0.00,220686636.00,261993405.17,0.00,261993405.17,482680041.17,10.28,10.28
HU,Hungary,2014HU16M1OP003,Integrated Transport - HU - ERDF/CF,CF,,2016,2700708949.00,76159992.36,0.00,0.00,50773328.24,0.00,0.00,126933320.60,0.00,0.00,0.00,126933320.60,4.70,4.70
IT,Italy,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ESF,More developed,2021,25711180.00,771335.40,0.00,0.00,3920954.96,454815.54,2402122.35,1835352.47,8351742.82,0.00,8806558.36,10641910.83,41.39,41.39
FR,France,2014FR16M0OP014,Bourgogne - ERDF/ESF/YEI,ERDF,REACT-EU,2022,52103383.00,5967000.00,0.00,0.00,1591200.00,0.00,795600.00,6762600.00,3979078.59,0.00,3979078.59,10741678.59,20.62,20.62
IT,Italy,2014IT16M2OP003,Legality - IT - ERDF/ESF,ESF,Less developed,2020,125586335.00,2479344.00,0.00,0.00,12490861.00,906317.16,6554231.45,7509656.39,9684193.56,0.00,10590510.72,18100167.11,14.41,14.41
EE,Estonia,2014EE05FMOP001,FEAD - Estonia,FEAD,,2018,8002026.00,880222.86,0.00,0.00,0.00,0.00,0.00,880222.86,3576650.52,0.00,3576650.52,4456873.38,55.70,55.70
FR,France,2014FR16M0OP005,Haute-Normandie - ERDF/ESF/YEI,YEI,,2021,24328726.00,477052.86,2305755.49,0.00,3320383.64,1383892.24,1195308.42,3523991.33,12736577.94,0.00,14120470.18,17644461.51,72.53,72.53
DE,Germany,2014DE05SFOP001,Schleswig-Holstein  - ESF,ESF,More developed,2019,88790767.00,2503899.63,0.00,0.00,8554990.41,2415200.79,3740219.14,4903470.11,50541047.39,0.00,52956248.18,57859718.29,65.16,65.16
LT,Lithuania,2014LT16MAOP001,EU Structural Funds Investments - LT - ERDF/ESF/CF/YEI,YEI,,2023,63565266.00,1906957.98,9216963.57,9216963.57,8422397.76,1300364.38,6235757.04,2793234.32,61140123.96,3327344.27,59113144.07,61906378.39,97.39,97.39
SK,Slovakia,2014SK16RFOP002,Integrated Regional Programme - SK - ERDF,ERDF,REACT-EU,2022,235782984.00,87705447.30,0.00,0.00,7796039.76,0.00,3898019.88,91603467.18,51938869.58,0.00,51938869.58,143542336.76,60.88,60.88
SK,Slovakia,2014SK05SFOP001,Effective Public Administration - SK - ESF,ESF,More developed,2021,9463693.00,266876.13,0.00,0.00,1367976.77,631540.10,547162.81,456149.99,8338131.95,0.00,8969672.05,9425822.04,99.60,99.60
TC,Interreg,2014TC16M6TN001,Interreg V-B - Danube,IPAE,,2022,19829192.00,594875.76,0.00,0.00,3420535.62,1262203.58,1303342.78,1449865.02,14977796.71,0.00,16240000.29,17689865.31,89.21,89.21
FR,France,2014FR16M2TA001,Technical Assistance - FR - ERDF/ESF,ESF,More developed,2021,13957017.00,418710.51,0.00,0.00,2128445.10,374365.09,1245183.87,927606.65,8009005.75,12631.07,8370739.77,9298346.42,66.62,66.62
